,index,Pakistan,Hong Kong,Bangladesh,Ireland,U.A.E.,U.S.A.,Scotland,England,Afghanistan,India,Canada,Namibia,Bermuda,East Africa,South Africa,Netherlands,New Zealand,Sri Lanka,Australia,Kenya,West Indies,P.N.G.,Zimbabwe,WinPer
10,South Africa,65,0,85,100,100,0,100,52,0,60,100,0,0,0,0,100,63,54,48,100,74,0,94,61.921097770154375
14,Australia,65,0,94,100,0,100,100,60,100,61,100,100,0,0,51,100,69,65,0,100,54,0,93,61.12956810631229
0,Pakistan,0,100,88,83,100,0,100,38,100,58,100,100,0,0,34,100,55,60,34,100,46,0,92,53.05429864253394
7,India,41,100,84,100,100,0,100,57,100,0,0,100,100,100,39,100,53,61,38,84,47,0,83,51.182795698924735
6,Afghanistan,0,100,40,46,40,0,70,0,0,0,80,0,0,0,0,66,0,0,0,66,50,0,57,50.602409638554214
16,West Indies,53,0,73,80,100,0,100,46,50,52,100,0,100,0,25,100,55,52,45,83,0,0,77,49.54367666232073
5,England,61,0,80,87,100,0,100,0,100,42,100,100,0,100,47,100,47,49,39,100,53,0,72,49.21090387374462
13,Sri Lanka,39,0,87,100,100,0,100,50,100,38,100,0,100,0,45,100,47,0,34,83,47,0,81,46.03960396039604
12,New Zealand,44,0,67,100,100,100,100,52,100,46,100,0,0,100,36,100,0,52,30,100,44,0,75,44.322845417236664
2,Ireland,16,0,25,0,100,0,75,12,53,0,75,0,100,0,0,87,0,0,0,77,20,0,37,41.46341463414634
11,Netherlands,0,0,50,12,0,0,25,0,33,0,100,100,85,0,0,0,0,0,0,70,0,0,0,36.84210526315789
4,Scotland,0,33,0,25,75,0,0,0,30,0,77,0,0,0,0,75,0,0,0,62,0,50,50,33.33333333333333
1,Bangladesh,11,100,0,75,100,0,100,20,60,15,50,0,100,0,15,50,32,12,5,57,26,0,58,31.343283582089555
15,Kenya,0,0,42,22,0,0,37,0,33,15,64,0,100,0,0,30,0,16,0,0,16,0,16,27.27272727272727
17,Zimbabwe,7,0,41,62,100,0,50,27,42,16,100,100,100,0,5,100,25,18,6,83,22,0,0,26.272912423625254
3,U.A.E.,0,50,0,0,0,0,25,0,60,0,0,0,0,0,0,100,0,0,0,0,0,66,0,25.71428571428571
8,Canada,0,0,50,25,0,0,22,0,20,0,0,0,54,0,0,0,0,0,0,35,0,0,0,22.07792207792208
9,Bermuda,0,0,0,0,0,0,100,0,0,0,45,0,0,0,0,14,0,0,0,0,0,0,0,20.0
